"","...1","LLAVEVIV","HOGAR","H18A_ESTU","H18B_REFR","H18C_LAVA","H18D_MCOS","H18E_ABAN","H18F_AIRE","H18G_RADI","H18H_TRES","H18I_TCEL","H18J_TV","H18K_COMP","H18L_INTER","H18M_AUTO","V03_TENE","V11_SANIT","id_hogar","vivienda_propia","alcantarillado","casa_propiacon_alcantarillado"
"1",1,"0001890",1,1,1,1,0,0,1,1,1,1,1,1,1,0,NA,NA,1,0,0,0
"2",2,"0690816",1,1,1,1,0,1,0,0,0,1,1,0,0,0,3,1,2,1,1,1
"3",3,"0680348",1,1,1,1,0,1,1,0,0,1,1,0,0,0,2,1,3,0,1,0
"4",4,"0600341",1,1,1,1,0,0,0,0,0,1,1,0,1,0,3,3,4,1,0,0
"5",5,"1197331",1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,5,1,0,0
"6",6,"0572216",1,1,1,1,0,1,1,1,0,1,1,1,1,0,3,2,6,1,0,0
"7",7,"0944977",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,7,0,1,0
"8",8,"1245215",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,8,0,0,0
"9",9,"0991822",1,1,1,1,0,1,1,1,1,1,1,0,1,1,3,1,9,1,1,1
"10",10,"0830095",1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,10,1,0,0
"11",11,"0765244",1,1,1,1,0,1,0,1,1,1,1,0,1,0,3,1,11,1,1,1
"12",12,"1232593",1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,2,12,0,0,0
"13",13,"0875634",1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,13,0,1,0
"14",14,"1287930",1,1,0,0,1,0,0,0,0,1,1,0,0,0,3,4,14,1,0,0
"15",15,"0759000",1,1,1,1,0,1,1,1,0,1,1,1,0,1,3,1,15,1,1,1
"16",16,"0131431",1,1,1,1,0,1,0,1,0,1,1,0,1,0,3,3,16,1,0,0
"17",17,"1090012",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,0,1,0
"18",18,"0751102",1,1,1,1,0,1,0,1,0,1,1,0,1,0,2,1,18,0,1,0
"19",19,"0444508",1,1,1,1,1,1,0,0,0,1,1,1,1,1,3,2,19,1,0,0
"20",20,"0215533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,20,1,0,0
"21",21,"0157188",1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,21,1,0,0
"22",22,"1011479",1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,3,22,1,0,0
"23",23,"0409788",1,1,1,0,0,0,0,1,0,0,1,0,0,0,3,3,23,1,0,0
"24",24,"0671512",1,1,1,1,0,0,1,1,1,1,1,1,1,0,3,1,24,1,1,1
"25",25,"1440888",1,1,0,0,0,0,0,1,0,1,0,0,1,0,3,2,25,1,0,0
"26",26,"0194381",1,1,1,1,0,1,0,0,0,1,1,0,0,1,2,2,26,0,0,0
"27",27,"1070601",1,1,0,1,0,1,0,0,0,0,1,0,0,0,3,1,27,1,1,1
"28",28,"0834072",1,1,1,1,1,1,0,0,0,1,1,0,0,0,3,2,28,1,0,0
"29",29,"0254247",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,29,1,0,0
"30",30,"0023265",1,1,1,0,0,1,0,1,0,1,1,1,0,1,3,2,30,1,0,0
"31",31,"0800752",1,1,1,1,0,1,0,0,0,1,1,1,1,0,3,2,31,1,0,0
"32",32,"1439536",1,1,1,1,0,1,1,1,0,1,1,0,1,0,3,2,32,1,0,0
"33",33,"0936124",1,1,1,1,0,1,0,1,1,1,1,0,1,0,3,2,33,1,0,0
"34",34,"0910110",1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,34,0,1,0
"35",35,"0280311",1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,2,35,1,0,0
"36",36,"0741457",1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,36,0,1,0
"37",37,"0915472",1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,37,0,1,0
"38",38,"0562488",1,1,1,1,1,1,1,0,0,1,1,1,0,1,3,2,38,1,0,0
"39",39,"0119929",1,1,1,1,0,1,0,0,0,1,1,0,0,0,4,3,39,0,0,0
"40",40,"0316166",1,1,1,1,0,1,1,1,0,1,1,0,1,1,2,2,40,0,0,0
"41",41,"0507024",1,1,1,1,0,1,0,1,0,1,1,0,0,0,3,2,41,1,0,0
"42",42,"1187612",1,1,0,0,0,1,0,0,0,1,1,0,0,0,4,3,42,0,0,0
"43",43,"1133516",1,1,1,1,0,1,1,0,0,1,0,1,1,1,3,2,43,1,0,0
"44",44,"0887760",1,1,1,1,0,1,1,1,1,1,1,0,1,1,3,1,44,1,1,1
"45",45,"0970097",1,1,1,1,0,1,0,0,1,1,1,0,1,1,3,2,45,1,0,0
"46",46,"1518664",1,1,1,1,0,1,0,0,0,1,1,1,1,1,3,2,46,1,0,0
"47",47,"1127045",1,1,0,1,0,1,1,0,0,0,1,1,1,0,2,1,47,0,1,0
"48",48,"0684587",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,48,0,1,0
"49",49,"0556345",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,49,0,1,0
"50",50,"0123103",1,1,1,1,0,1,0,0,0,1,1,1,1,0,3,2,50,1,0,0
"51",51,"0955172",1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,51,1,0,0
"52",52,"0628688",1,1,1,1,0,1,1,0,1,1,1,1,1,1,3,1,52,1,1,1
"53",53,"1386225",1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,2,53,1,0,0
"54",54,"0601087",1,1,1,1,0,0,0,0,0,1,1,0,0,0,3,3,54,1,0,0
"55",55,"1206701",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,55,1,1,1
"56",56,"0230418",1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,56,0,1,0
"57",57,"1223542",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,57,0,1,0
"58",58,"0938335",1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,58,0,1,0
"59",59,"1193389",1,1,1,1,0,1,1,1,0,1,1,0,1,1,3,2,59,1,0,0
"60",60,"0938226",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,60,0,1,0
"61",61,"1150521",1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,61,1,1,1
"62",62,"1088719",1,1,1,1,0,1,1,0,0,1,1,1,1,1,3,1,62,1,1,1
"63",63,"1218167",1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,63,0,1,0
"64",64,"1302125",1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,64,1,0,0
"65",65,"1106314",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,65,0,1,0
"66",66,"1402366",1,1,1,1,1,1,0,0,0,1,1,1,1,1,3,2,66,1,0,0
"67",67,"0835113",1,1,1,0,1,1,0,0,0,1,1,0,0,0,3,2,67,1,0,0
"68",68,"1427901",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,68,1,1,1
"69",69,"0403814",1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,2,69,1,0,0
"70",70,"0061714",1,1,1,1,0,1,0,0,0,1,1,1,1,0,3,1,70,1,1,1
"71",71,"0972784",1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,2,71,1,0,0
"72",72,"0096649",1,1,1,0,0,0,0,0,0,1,1,0,0,1,3,3,72,1,0,0
"73",73,"0476765",1,1,1,0,0,1,0,0,0,1,1,0,0,0,2,1,73,0,1,0
"74",74,"0021930",1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,74,1,0,0
"75",75,"0171186",1,1,1,1,0,1,0,1,0,1,1,0,1,1,3,2,75,1,0,0
"76",76,"1203239",1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,3,76,1,0,0
"77",77,"0108755",1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,77,1,0,0
"78",78,"1080162",1,1,1,1,1,1,0,1,0,1,1,1,1,0,4,1,78,0,1,0
"79",79,"1587347",1,1,1,1,1,1,0,0,0,0,1,0,0,0,3,2,79,1,0,0
"80",80,"0277135",1,1,1,1,0,1,0,1,1,1,1,1,1,0,2,2,80,0,0,0
"81",81,"0840469",1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,81,0,1,0
"82",82,"0669937",1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,82,1,1,1
"83",83,"0529445",1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,2,83,1,0,0
"84",84,"0456537",1,1,1,1,0,1,0,1,0,1,1,0,1,0,3,2,84,1,0,0
"85",85,"1413178",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,85,0,1,0
"86",86,"0471653",1,1,1,1,0,1,0,1,0,1,1,0,0,0,3,3,86,1,0,0
"87",87,"0493053",1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,87,1,1,1
"88",88,"0134779",2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,88,1,0,0
"89",89,"1245988",1,1,0,0,0,0,0,1,0,1,0,0,1,0,3,3,89,1,0,0
"90",90,"1566584",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,90,0,1,0
"91",91,"0160563",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,91,0,1,0
"92",92,"1216914",1,1,0,0,0,1,0,1,0,0,1,0,0,0,3,2,92,1,0,0
"93",93,"0341195",1,1,1,1,0,1,1,1,1,1,1,0,1,0,3,2,93,1,0,0
"94",94,"0696389",1,1,1,1,0,1,1,0,0,1,1,1,1,1,2,1,94,0,1,0
"95",95,"1218296",1,1,1,1,1,1,0,0,1,1,1,0,1,1,3,2,95,1,0,0
