"","id_hogar","H18A_ESTU","H18B_REFR","H18C_LAVA","H18D_MCOS","H18E_ABAN","H18F_AIRE","H18G_RADI","H18H_TRES","H18I_TCEL","H18J_TV","H18K_COMP","H18L_INTER","H18M_AUTO","nse","se_nse"
"1",1,1,1,1,0,0,1,1,1,1,1,1,1,0,0.493626602289582,0.397047297672753
"2",2,1,1,1,0,1,0,0,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"3",3,1,1,1,0,1,1,0,0,1,1,0,0,0,-0.154337983286555,0.376931749958893
"4",4,1,1,1,0,0,0,0,0,1,1,0,1,0,-0.447732483616263,0.344969966419007
"5",5,1,0,0,0,0,0,1,0,1,0,0,0,0,-1.48726877012134,0.313103473746974
"6",6,1,1,1,0,1,1,1,0,1,1,1,1,0,0.515995780844163,0.398660600065657
"7",7,1,1,1,0,1,1,0,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"8",8,1,1,1,0,1,0,1,1,1,1,1,1,1,0.773633666125359,0.42716685784914
"9",9,1,1,1,0,1,1,1,1,1,1,0,1,1,0.786912313062124,0.429156166863074
"10",10,1,0,0,0,0,0,0,0,0,1,0,0,0,-1.41133809040359,0.299335039876705
"11",11,1,1,1,0,1,0,1,1,1,1,0,1,0,0.0447123573989088,0.383330517926325
"12",12,1,1,1,0,1,0,0,0,1,1,1,0,1,0.164740774155072,0.385056875579537
"13",13,1,1,0,0,1,0,0,0,1,1,0,1,1,-0.297034753082713,0.365536217680173
"14",14,1,0,0,1,0,0,0,0,1,1,0,0,0,-1.2440839259936,0.270992746126556
"15",15,1,1,1,0,1,1,1,0,1,1,1,0,1,0.540198406972109,0.40055165532411
"16",16,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"17",17,1,1,1,1,1,1,1,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"18",18,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"19",19,1,1,1,1,1,0,0,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"20",20,1,1,1,1,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"21",21,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.71357479197151,0.346669676424292
"22",22,1,1,0,0,0,0,0,0,0,0,0,1,0,-1.08949772580803,0.256632572232218
"23",23,1,1,0,0,0,0,1,0,0,1,0,0,0,-1.03878452198896,0.255783901154914
"24",24,1,1,1,0,0,1,1,1,1,1,1,1,0,0.493626602289582,0.397047297672753
"25",25,1,0,0,0,0,0,1,0,1,0,0,1,0,-1.30274163207376,0.280042024080097
"26",26,1,1,1,0,1,0,0,0,1,1,0,0,1,-0.182988790436365,0.375218447062372
"27",27,1,0,1,0,1,0,0,0,0,1,0,0,0,-1.05743240592498,0.255854250016892
"28",28,1,1,1,1,1,0,0,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"29",29,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.20360265307566,0.420269375739473
"30",30,1,1,0,0,1,0,1,0,1,1,1,0,1,-0.259081001619411,0.369300579770971
"31",31,1,1,1,0,1,0,0,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"32",32,1,1,1,0,1,1,1,0,1,1,0,1,0,0.153011904568361,0.38488664112875
"33",33,1,1,1,0,1,0,1,1,1,1,0,1,0,0.0447123573989088,0.383330517926325
"34",34,1,1,1,0,1,0,1,1,1,1,0,1,0,0.0447123573989088,0.383330517926325
"35",35,1,1,1,0,1,0,0,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"36",36,1,1,1,0,1,0,0,1,1,1,1,1,1,0.773633666125359,0.42716685784914
"37",37,1,1,1,1,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"38",38,1,1,1,1,1,1,0,0,1,1,1,0,1,0.540198406972109,0.40055165532411
"39",39,1,1,1,0,1,0,0,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"40",40,1,1,1,0,1,1,1,0,1,1,0,1,1,0.495401488493232,0.397170670532923
"41",41,1,1,1,0,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"42",42,1,0,0,0,1,0,0,0,1,1,0,0,0,-1.11446416849635,0.257803547850098
"43",43,1,1,1,0,1,1,0,0,1,0,1,1,1,0.418786121470954,0.392539420469298
"44",44,1,1,1,0,1,1,1,1,1,1,0,1,1,0.786912313062124,0.429156166863074
"45",45,1,1,1,0,1,0,0,1,1,1,0,1,1,0.381654124123833,0.390774417170839
